流水序,教育部字號,Unicode,常用字
00961,A00961,5ac2,嫂
00962,A00962,5ab2,媲
00963,A00963,5ae1,嫡
00964,A00964,5ae6,嫦
00965,A00965,5ae9,嫩
00966,A00966,5ad7,嫗
00967,A00967,5ad6,嫖
00968,A00968,5ad8,嫘
00969,A00969,5ae3,嫣
00970,A00970,5b09,嬉
00971,A00971,5afb,嫻
00972,A00972,5b0b,嬋
00973,A00973,5af5,嫵
00974,A00974,5b0c,嬌
00975,A00975,5b1d,嬝
00976,A00976,5b34,嬴
00977,A00977,5b30,嬰
00978,A00978,5b2a,嬪
00979,A00979,5b24,嬤
00980,A00980,5b38,嬸
00981,A00981,5b40,孀
00982,A00982,5b50,子
00983,A00983,5b51,孑
00984,A00984,5b53,孓
00985,A00985,5b54,孔
00986,A00986,5b55,孕
00987,A00987,5b57,字
00988,A00988,5b58,存
00989,A00989,5b5d,孝
00990,A00990,5b5c,孜
00991,A00991,5b5a,孚
00992,A00992,5b5f,孟
00993,A00993,5b64,孤
00994,A00994,5b63,季
00995,A00995,5b69,孩
00996,A00996,5b6b,孫
00997,A00997,5b70,孰
00998,A00998,5b73,孳
00999,A00999,5b71,孱
01000,A01000,5b75,孵
01001,A01001,5b78,學
01002,A01002,5b7a,孺
01003,A01003,5b7d,孽
01004,A01004,5b7f,孿
01005,A01005,5b83,它
01006,A01006,5b87,宇
01007,A01007,5b88,守
01008,A01008,5b85,宅
01009,A01009,5b89,安
01010,A01010,5b8c,完
01011,A01011,5b8b,宋
01012,A01012,5b8f,宏
01013,A01013,5b97,宗
01014,A01014,5b9a,定
01015,A01015,5b98,官
01016,A01016,5b9c,宜
01017,A01017,5b99,宙
01018,A01018,5b9b,宛
01019,A01019,5ba3,宣
01020,A01020,5ba6,宦
01021,A01021,5ba4,室
01022,A01022,5ba2,客
01023,A01023,5ba5,宥
01024,A01024,5bb0,宰
01025,A01025,5bb3,害
01026,A01026,5bb6,家
01027,A01027,5bb4,宴
01028,A01028,5bae,宮
01029,A01029,5bb5,宵
01030,A01030,5bb9,容
01031,A01031,5bb8,宸
01032,A01032,5bc7,寇
01033,A01033,5bc5,寅
01034,A01034,5bc4,寄
01035,A01035,5bc2,寂
01036,A01036,5bbf,宿
01037,A01037,5bc6,密
01038,A01038,5bd2,寒
01039,A01039,5bcc,富
01040,A01040,5bd3,寓
01041,A01041,5bd0,寐
01042,A01042,5bde,寞
01043,A01043,5be7,寧
01044,A01044,5be1,寡
01045,A01045,5be5,寥
01046,A01046,5be6,實
01047,A01047,5be8,寨
01048,A01048,5be2,寢
01049,A01049,5be4,寤
01050,A01050,5bdf,察
01051,A01051,5bee,寮
01052,A01052,5bec,寬
01053,A01053,5be9,審
01054,A01054,5beb,寫
01055,A01055,5bf5,寵
01056,A01056,5bf6,寶
01057,A01057,5bf8,寸
01058,A01058,5bfa,寺
01059,A01059,5c01,封
01060,A01060,5c04,射
01061,A01061,5c09,尉
01062,A01062,5c08,專
01063,A01063,5c07,將
01064,A01064,5c0a,尊
01065,A01065,5c0b,尋
01066,A01066,5c0d,對
01067,A01067,5c0e,導
01068,A01068,5c0f,小
01069,A01069,5c11,少
01070,A01070,5c16,尖
01071,A01071,5c1a,尚
01072,A01072,5c24,尤
01073,A01073,5c2c,尬
01074,A01074,5c31,就
01075,A01075,5c37,尷
01076,A01076,5c38,尸
01077,A01077,5c3a,尺
01078,A01078,5c3c,尼
01079,A01079,5c40,局
01080,A01080,5c41,屁
01081,A01081,5c3f,尿
01082,A01082,5c3e,尾
01083,A01083,5c48,屈
01084,A01084,5c45,居
01085,A01085,5c46,屆
01086,A01086,5c4e,屎
01087,A01087,5c4f,屏
01088,A01088,5c4d,屍
01089,A01089,5c4b,屋
01090,A01090,5c51,屑
01091,A01091,5c55,展
01092,A01092,5c50,屐
01093,A01093,5c60,屠
01094,A01094,5c5c,屜
01095,A01095,5c62,屢
01096,A01096,5c64,層
01097,A01097,5c65,履
01098,A01098,5c6c,屬
01099,A01099,5c6f,屯
01100,A01100,5c71,山
01101,A01101,5c79,屹
01102,A01102,5c90,岐
01103,A01103,5c91,岑
01104,A01104,5c94,岔
01105,A01105,5c8c,岌
01106,A01106,5cb7,岷
01107,A01107,5ca1,岡
01108,A01108,5cb8,岸
01109,A01109,5ca9,岩
01110,A01110,5cab,岫
01111,A01111,5cb1,岱
01112,A01112,5cb3,岳
01113,A01113,5cd9,峙
01114,A01114,5ced,峭
01115,A01115,5cfd,峽
01116,A01116,5cfb,峻
01117,A01117,5cea,峪
01118,A01118,5ce8,峨
01119,A01119,5cf0,峰
01120,A01120,5cf6,島
01121,A01121,5d01,崁
01122,A01122,5d07,崇
01123,A01123,5d06,崆
01124,A01124,5d0e,崎
01125,A01125,5d1b,崛
01126,A01126,5d16,崖
01127,A01127,5d22,崢
01128,A01128,5d11,崑
01129,A01129,5d29,崩
01130,A01130,5d14,崔
01131,A01131,5d19,崙
01132,A01132,5d4c,嵌
01133,A01133,5d50,嵐
01134,A01134,5d69,嵩
01135,A01135,5d84,嶄
01136,A01136,5d87,嶇
01137,A01137,5d9d,嶝
01138,A01138,5dbc,嶼
01139,A01139,5dba,嶺
01140,A01140,5dbd,嶽
01141,A01141,5dcd,巍
01142,A01142,5dd4,巔
01143,A01143,5dd2,巒
01144,A01144,5dd6,巖
01145,A01145,5ddd,川
01146,A01146,5dde,州
01147,A01147,5de2,巢
01148,A01148,5de5,工
01149,A01149,5de8,巨
01150,A01150,5de7,巧
01151,A01151,5de6,左
01152,A01152,5deb,巫
01153,A01153,5dee,差
01154,A01154,5df1,己
01155,A01155,5df2,已
01156,A01156,5df3,巳
01157,A01157,5df4,巴
01158,A01158,5df7,巷
01159,A01159,5dfd,巽
01160,A01160,5dfe,巾
01161,A01161,5e02,市
01162,A01162,5e03,布
01163,A01163,5e06,帆
01164,A01164,5e0c,希
01165,A01165,5e18,帘
01166,A01166,5e1a,帚
01167,A01167,5e16,帖
01168,A01168,5e15,帕
01169,A01169,5e1b,帛
01170,A01170,5e11,帑
01171,A01171,5e1d,帝
01172,A01172,5e25,帥
01173,A01173,5e2d,席
01174,A01174,5e2b,師
01175,A01175,5e38,常
01176,A01176,5e36,帶
01177,A01177,5e33,帳
01178,A01178,5e37,帷
01179,A01179,5e45,幅
01180,A01180,5e3d,帽
01181,A01181,5e40,幀
01182,A01182,5e4c,幌
01183,A01183,5e5b,幛
01184,A01184,5e63,幣
01185,A01185,5e55,幕
01186,A01186,5e57,幗
01187,A01187,5e54,幔
01188,A01188,5e62,幢
01189,A01189,5e5f,幟
01190,A01190,5e6b,幫
01191,A01191,5e72,干
01192,A01192,5e73,平
01193,A01193,5e76,并
01194,A01194,5e74,年
01195,A01195,5e78,幸
01196,A01196,5e79,幹
01197,A01197,5e7b,幻
01198,A01198,5e7c,幼
01199,A01199,5e7d,幽
01200,A01200,5e7e,幾
01201,A01201,5e8f,序
01202,A01202,5e87,庇
01203,A01203,5e8a,床
01204,A01204,5e9a,庚
01205,A01205,5e97,店
01206,A01206,5e9c,府
01207,A01207,5e95,底
01208,A01208,5e96,庖
01209,A01209,5ea0,庠
01210,A01210,5ea6,度
01211,A01211,5eab,庫
01212,A01212,5ead,庭
01213,A01213,5ea7,座
01214,A01214,5eb7,康
01215,A01215,5eb8,庸
01216,A01216,5eb6,庶
01217,A01217,5eb5,庵
01218,A01218,5ebe,庾
01219,A01219,5eca,廊
01220,A01220,5ec1,廁
01221,A01221,5ec2,廂
01222,A01222,5ec9,廉
01223,A01223,5ec8,廈
01224,A01224,5ed3,廓
01225,A01225,5ed6,廖
01226,A01226,5ee2,廢
01227,A01227,5eda,廚
01228,A01228,5edf,廟
01229,A01229,5edd,廝
01230,A01230,5ee3,廣
01231,A01231,5ee0,廠
01232,A01232,9f90,龐
01233,A01233,5eec,廬
01234,A01234,5ef3,廳
01235,A01235,5ef7,廷
01236,A01236,5ef6,延
01237,A01237,5efa,建
01238,A01238,5eff,廿
01239,A01239,5f01,弁
01240,A01240,5f04,弄
01241,A01241,5f08,弈
01242,A01242,5f0a,弊
01243,A01243,5f0f,式
01244,A01244,5f12,弒
01245,A01245,5f13,弓
01246,A01246,5f14,弔
01247,A01247,5f15,引
01248,A01248,5f18,弘
01249,A01249,5f17,弗
01250,A01250,5f1b,弛
01251,A01251,5f1f,弟
01252,A01252,5f26,弦
01253,A01253,5f27,弧
01254,A01254,5f29,弩
01255,A01255,5f2d,弭
01256,A01256,5f31,弱
01257,A01257,5f35,張
01258,A01258,5f37,強
01259,A01259,5f3c,弼
01260,A01260,5f46,彆
01261,A01261,5f48,彈
01262,A01262,5f4c,彌
01263,A01263,5f4e,彎
01264,A01264,5f57,彗
01265,A01265,5f59,彙
01266,A01266,5f5e,彞
01267,A01267,5f64,彤
01268,A01268,5f62,形
01269,A01269,5f65,彥
01270,A01270,5f6c,彬
01271,A01271,5f69,彩
01272,A01272,5f6b,彫
01273,A01273,5f6d,彭
01274,A01274,5f70,彰
01275,A01275,5f71,影
01276,A01276,5f77,彷
01277,A01277,5f79,役
01278,A01278,5f80,往
01279,A01279,5f81,征
01280,A01280,5f7f,彿
01281,A01281,5f7c,彼
01282,A01282,5f88,很
01283,A01283,5f85,待
01284,A01284,5f8a,徊
01285,A01285,5f8b,律
01286,A01286,5f87,徇
01287,A01287,5f8c,後
01288,A01288,5f92,徒
01289,A01289,5f91,徑
01290,A01290,5f90,徐
01291,A01291,5f97,得
01292,A01292,5f99,徙
01293,A01293,5f9e,從
01294,A01294,5f98,徘
01295,A01295,5fa1,御
01296,A01296,5fa9,復
01297,A01297,5faa,循
01298,A01298,5fa8,徨
01299,A01299,5fac,徬
01300,A01300,5fae,微
01301,A01301,5fb9,徹
01302,A01302,5fb7,德
01303,A01303,5fb5,徵
01304,A01304,5fbd,徽
01305,A01305,5fc3,心
01306,A01306,5fc5,必
01307,A01307,5fd9,忙
01308,A01308,5fd6,忖
01309,A01309,5fd8,忘
01310,A01310,5fcc,忌
01311,A01311,5fd7,志
01312,A01312,5fcd,忍
01313,A01313,5ff1,忱
01314,A01314,5feb,快
01315,A01315,5fdd,忝
01316,A01316,5fe0,忠
01317,A01317,5ffd,忽
01318,A01318,5ff5,念
01319,A01319,5fff,忿
01320,A01320,600f,怏
01321,A01321,6014,怔
01322,A01322,602f,怯
01323,A01323,6035,怵
01324,A01324,6016,怖
01325,A01325,602a,怪
01326,A01326,6015,怕
01327,A01327,6021,怡
01328,A01328,6027,性
01329,A01329,6012,怒
01330,A01330,601d,思
01331,A01331,6020,怠
01332,A01332,6025,急
01333,A01333,600e,怎
01334,A01334,6028,怨
01335,A01335,604d,恍
01336,A01336,6070,恰
01337,A01337,6068,恨
01338,A01338,6062,恢
01339,A01339,6046,恆
01340,A01340,6043,恃
01341,A01341,606c,恬
01342,A01342,606b,恫
01343,A01343,606a,恪
01344,A01344,6064,恤
01345,A01345,6059,恙
01346,A01346,6063,恣
01347,A01347,6065,恥
01348,A01348,6050,恐
01349,A01349,6055,恕
01350,A01350,606d,恭
01351,A01351,6069,恩
01352,A01352,606f,息
01353,A01353,6084,悄
01354,A01354,609f,悟
01355,A01355,609a,悚
01356,A01356,608d,悍
01357,A01357,6094,悔
01358,A01358,608c,悌
01359,A01359,6085,悅
01360,A01360,6096,悖
01361,A01361,607f,恿
01362,A01362,60a3,患
01363,A01363,6089,悉
01364,A01364,60a0,悠
01365,A01365,60a8,您
01366,A01366,60cb,惋
01367,A01367,60b4,悴
01368,A01368,60e6,惦
01369,A01369,60bd,悽
01370,A01370,60c5,情
01371,A01371,60bb,悻
01372,A01372,60b5,悵
01373,A01373,60dc,惜
01374,A01374,60bc,悼
01375,A01375,60d8,惘
01376,A01376,60d5,惕
01377,A01377,60c6,惆
01378,A01378,60df,惟
01379,A01379,60b8,悸
01380,A01380,60da,惚
01381,A01381,60d1,惑
01382,A01382,60e1,惡
01383,A01383,60b2,悲
01384,A01384,60b6,悶
01385,A01385,60e0,惠
01386,A01386,611c,愜
01387,A01387,6123,愣
01388,A01388,60fa,惺
01389,A01389,6115,愕
01390,A01390,60f0,惰
01391,A01391,60fb,惻
01392,A01392,60f4,惴
01393,A01393,6168,慨
01394,A01394,60f1,惱
01395,A01395,610e,愎
01396,A01396,60f6,惶
01397,A01397,6109,愉
01398,A01398,6100,愀
01399,A01399,611a,愚
01400,A01400,610f,意
01401,A01401,6148,慈
01402,A01402,611f,感
01403,A01403,60f3,想
01404,A01404,611b,愛
01405,A01405,60f9,惹
01406,A01406,6101,愁
01407,A01407,6108,愈
01408,A01408,614e,慎
01409,A01409,614c,慌
01410,A01410,6144,慄
01411,A01411,614d,慍
01412,A01412,613e,愾
01413,A01413,6134,愴
01414,A01414,6127,愧
01415,A01415,6147,慇
01416,A01416,613f,愿
01417,A01417,614b,態
01418,A01418,6177,慷
01419,A01419,6162,慢
01420,A01420,6163,慣
01421,A01421,615f,慟
01422,A01422,615a,慚
01423,A01423,6158,慘
01424,A01424,6176,慶
01425,A01425,6167,慧
01426,A01426,616e,慮
01427,A01427,615d,慝
01428,A01428,6155,慕
01429,A01429,6182,憂
01430,A01430,617c,慼
01431,A01431,6170,慰
01432,A01432,616b,慫
01433,A01433,617e,慾
01434,A01434,61a7,憧
01435,A01435,6190,憐
01436,A01436,61ab,憫
01437,A01437,618e,憎
01438,A01438,61ac,憬
01439,A01439,619a,憚
01440,A01440,61a4,憤
01441,A01441,6194,憔
01442,A01442,61b2,憲
01443,A01443,6191,憑
01444,A01444,61a9,憩
01445,A01445,618a,憊
01446,A01446,61cd,懍
01447,A01447,61b6,憶
01448,A01448,61be,憾
01449,A01449,61c2,懂
01450,A01450,61ca,懊
01451,A01451,61c8,懈
01452,A01452,61c9,應
01453,A01453,61c7,懇
01454,A01454,61e6,懦
01455,A01455,61e3,懣
01456,A01456,61f2,懲
01457,A01457,61f7,懷
01458,A01458,61f6,懶
01459,A01459,61f5,懵
01460,A01460,61f8,懸
01461,A01461,61fa,懺
01462,A01462,61fc,懼
01463,A01463,61fe,懾
01464,A01464,61ff,懿
01465,A01465,6200,戀
01466,A01466,6208,戈
01467,A01467,620a,戊
01468,A01468,620e,戎
01469,A01469,620c,戌
01470,A01470,620d,戍
01471,A01471,6210,成
01472,A01472,6212,戒
01473,A01473,6211,我
01474,A01474,6216,或
01475,A01475,6215,戕
01476,A01476,621a,戚
01477,A01477,621b,戛
01478,A01478,621f,戟
01479,A01479,6221,戡
01480,A01480,6222,戢
01481,A01481,622a,截
01482,A01482,622e,戮
01483,A01483,6230,戰
01484,A01484,6232,戲
01485,A01485,6234,戴
01486,A01486,6233,戳
01487,A01487,6236,戶
01488,A01488,623f,房
01489,A01489,623e,戾
01490,A01490,6240,所
01491,A01491,6241,扁
01492,A01492,6247,扇
01493,A01493,6248,扈
01494,A01494,6249,扉
01495,A01495,624b,手
01496,A01496,624d,才
01497,A01497,624e,扎
01498,A01498,6253,打
01499,A01499,6254,扔
01500,A01500,6252,扒
01501,A01501,6263,扣
01502,A01502,625b,扛
01503,A01503,6258,托
01504,A01504,6284,抄
01505,A01505,6297,抗
01506,A01506,6296,抖
01507,A01507,6280,技
01508,A01508,6276,扶
01509,A01509,6289,抉
01510,A01510,626d,扭
01511,A01511,628a,把
01512,A01512,627c,扼
01513,A01513,627e,找
01514,A01514,6279,批
01515,A01515,6273,扳
01516,A01516,6292,抒
01517,A01517,626f,扯
01518,A01518,6298,折
01519,A01519,626e,扮
01520,A01520,6295,投
01521,A01521,6293,抓
01522,A01522,6291,抑
01523,A01523,627f,承
01524,A01524,62c9,拉
01525,A01525,62cc,拌
01526,A01526,62c4,拄
01527,A01527,62bf,抿
01528,A01528,62c2,拂
01529,A01529,62b9,抹
01530,A01530,62d2,拒
01531,A01531,62db,招
01532,A01532,62ab,披
01533,A01533,62d3,拓
01534,A01534,62d4,拔
01535,A01535,62cb,拋
01536,A01536,62c8,拈
01537,A01537,62a8,抨
01538,A01538,62bd,抽
01539,A01539,62bc,押
01540,A01540,62d0,拐
01541,A01541,62d9,拙
01542,A01542,62c7,拇
01543,A01543,62cd,拍
01544,A01544,62b5,抵
01545,A01545,62da,拚
01546,A01546,62b1,抱
01547,A01547,62d8,拘
01548,A01548,62d6,拖
01549,A01549,62d7,拗
01550,A01550,62c6,拆
01551,A01551,62ac,抬
01552,A01552,62ce,拎
01553,A01553,62dc,拜
01554,A01554,6316,挖
01555,A01555,6309,按
01556,A01556,62fc,拼
01557,A01557,62ed,拭
01558,A01558,6301,持
01559,A01559,62ee,拮
01560,A01560,62fd,拽
01561,A01561,6307,指
01562,A01562,62f1,拱
01563,A01563,62f7,拷
01564,A01564,62ef,拯
01565,A01565,62ec,括
01566,A01566,62fe,拾
01567,A01567,62f4,拴
01568,A01568,6311,挑
01569,A01569,62f3,拳
01570,A01570,6308,挈
01571,A01571,62ff,拿
01572,A01572,634e,捎
01573,A01573,633e,挾
01574,A01574,632f,振
01575,A01575,6355,捕
01576,A01576,6342,捂
01577,A01577,6346,捆
01578,A01578,634f,捏
01579,A01579,6349,捉
01580,A01580,633a,挺
01581,A01581,6350,捐
01582,A01582,633d,挽
01583,A01583,632a,挪
01584,A01584,632b,挫
01585,A01585,6328,挨
01586,A01586,63a0,掠
01587,A01587,63a7,控
01588,A01588,6372,捲
01589,A01589,6396,掖
01590,A01590,63a2,探
01591,A01591,63a5,接
01592,A01592,6377,捷
01593,A01593,6367,捧
01594,A01594,6398,掘
01595,A01595,63aa,措
01596,A01596,6371,捱
01597,A01597,63a9,掩
01598,A01598,6389,掉
01599,A01599,6383,掃
01600,A01600,639b,掛
01601,A01601,636b,捫
01602,A01602,63a8,推
01603,A01603,6384,掄
01604,A01604,6388,授
01605,A01605,6399,掙
01606,A01606,63a1,採
01607,A01607,63ac,掬
01608,A01608,6392,排
01609,A01609,638f,掏
01610,A01610,6380,掀
01611,A01611,637b,捻
01612,A01612,6369,捩
01613,A01613,6368,捨
01614,A01614,63a3,掣
01615,A01615,638c,掌
01616,A01616,63cf,描
01617,A01617,63c0,揀
01618,A01618,63e9,揩
01619,A01619,63c9,揉
01620,A01620,63c6,揆
01621,A01621,63cd,揍
01622,A01622,63d2,插
01623,A01623,63e3,揣
01624,A01624,63d0,提
01625,A01625,63e1,握
01626,A01626,63d6,揖
01627,A01627,63ed,揭
01628,A01628,63ee,揮
01629,A01629,6376,捶
01630,A01630,63f4,援
01631,A01631,63ea,揪
01632,A01632,63db,換
01633,A01633,6452,摒
01634,A01634,63da,揚
01635,A01635,6413,搓
01636,A01636,643e,搾
01637,A01637,641e,搞
01638,A01638,642a,搪
01639,A01639,642d,搭
01640,A01640,643d,搽
01641,A01641,642c,搬
01642,A01642,640f,搏
01643,A01643,641c,搜
01644,A01644,6414,搔
01645,A01645,640d,損
01646,A01646,6436,搶
01647,A01647,6416,搖
01648,A01648,6417,搗
01649,A01649,6487,撇
01650,A01650,6458,摘
01651,A01651,6454,摔
01652,A01652,64a4,撤
01653,A01653,6478,摸
01654,A01654,645f,摟
01655,A01655,647a,摺
01656,A01656,6451,摑
01657,A01657,6467,摧
01658,A01658,6469,摩
01659,A01659,646f,摯
01660,A01660,6479,摹
01661,A01661,649e,撞
01662,A01662,64b2,撲
01663,A01663,6488,撈
01664,A01664,6490,撐
01665,A01665,64b0,撰
01666,A01666,64a5,撥
01667,A01667,6493,撓
01668,A01668,6495,撕
01669,A01669,64a9,撩
01670,A01670,6492,撒
01671,A01671,64ae,撮
01672,A01672,64ad,播
01673,A01673,64ab,撫
01674,A01674,649a,撚
01675,A01675,64ac,撬
01676,A01676,64c5,擅
01677,A01677,64c1,擁
01678,A01678,64cb,擋
01679,A01679,64bb,撻
01680,A01680,64bc,撼
01681,A01681,64da,據
01682,A01682,64c4,擄
01683,A01683,64c7,擇
01684,A01684,64c2,擂
01685,A01685,64cd,操
01686,A01686,64bf,撿
01687,A01687,64d2,擒
01688,A01688,64d4,擔
01689,A01689,64ce,擎
01690,A01690,64ca,擊
01691,A01691,64d8,擘
01692,A01692,64e0,擠
01693,A01693,64f0,擰
01694,A01694,64e6,擦
01695,A01695,64ec,擬
01696,A01696,64f1,擱
01697,A01697,64f4,擴
01698,A01698,64f2,擲
01699,A01699,64fe,擾
01700,A01700,6506,攆
01701,A01701,64fa,擺
01702,A01702,64fb,擻
01703,A01703,6500,攀
01704,A01704,650f,攏
01705,A01705,6518,攘
01706,A01706,6514,攔
01707,A01707,6519,攙
01708,A01708,651d,攝
01709,A01709,651c,攜
01710,A01710,6524,攤
01711,A01711,6523,攣
01712,A01712,652b,攫
01713,A01713,652a,攪
01714,A01714,652c,攬
01715,A01715,652f,支
01716,A01716,6536,收
01717,A01717,6539,改
01718,A01718,653b,攻
01719,A01719,653e,放
01720,A01720,653f,政
01721,A01721,6545,故
01722,A01722,6548,效
01723,A01723,655d,敝
01724,A01724,6556,敖
01725,A01725,6551,救
01726,A01726,6559,教
01727,A01727,6557,敗
01728,A01728,555f,啟
01729,A01729,654f,敏
01730,A01730,6558,敘
01731,A01731,655e,敞
01732,A01732,6566,敦
01733,A01733,6562,敢
01734,A01734,6563,散
01735,A01735,656c,敬
01736,A01736,6572,敲
01737,A01737,6575,敵
01738,A01738,6577,敷
01739,A01739,6578,數
01740,A01740,6574,整
01741,A01741,6582,斂
01742,A01742,6583,斃
01743,A01743,6587,文
01744,A01744,6591,斑
01745,A01745,6590,斐
01746,A01746,6597,斗
01747,A01747,6599,料
01748,A01748,659c,斜
01749,A01749,659f,斟
01750,A01750,65a1,斡
01751,A01751,65a4,斤
01752,A01752,65a5,斥
01753,A01753,65a7,斧
01754,A01754,65ab,斫
01755,A01755,65ac,斬
01756,A01756,65af,斯
01757,A01757,65b0,新
01758,A01758,65b7,斷
01759,A01759,65b9,方
01760,A01760,65bc,於
01761,A01761,65bd,施
01762,A01762,65c1,旁
01763,A01763,65c5,旅
01764,A01764,65cf,族
01765,A01765,65cb,旋
01766,A01766,65cc,旌
01767,A01767,65ce,旎
01768,A01768,65d7,旗
01769,A01769,65d6,旖
01770,A01770,65e2,既
01771,A01771,65e5,日
01772,A01772,65e6,旦
01773,A01773,65e9,早
01774,A01774,65e8,旨
01775,A01775,65ec,旬
01776,A01776,65ed,旭
01777,A01777,65f1,旱
01778,A01778,65fa,旺
01779,A01779,6614,昔
01780,A01780,6613,易
01781,A01781,660c,昌
01782,A01782,6606,昆
01783,A01783,6602,昂
01784,A01784,660e,明
01785,A01785,6600,昀
01786,A01786,660f,昏
01787,A01787,6625,春
01788,A01788,662d,昭
01789,A01789,6620,映
01790,A01790,6627,昧
01791,A01791,662f,是
01792,A01792,661f,星
01793,A01793,6628,昨
01794,A01794,6642,時
01795,A01795,6649,晉
01796,A01796,664f,晏
01797,A01797,6643,晃
01798,A01798,6652,晒
01799,A01799,664c,晌
01800,A01800,665d,晝
01801,A01801,665a,晚
01802,A01802,6664,晤
01803,A01803,6668,晨
01804,A01804,6666,晦
01805,A01805,666e,普
01806,A01806,6670,晰
01807,A01807,6674,晴
01808,A01808,6676,晶
01809,A01809,666f,景
01810,A01810,6691,暑
01811,A01811,667a,智
01812,A01812,6697,暗
01813,A01813,6689,暉
01814,A01814,6687,暇
01815,A01815,6688,暈
01816,A01816,6696,暖
01817,A01817,66a2,暢
01818,A01818,66a8,暨
01819,A01819,66ae,暮
01820,A01820,66ab,暫
01821,A01821,66b4,暴
01822,A01822,66c6,曆
01823,A01823,66c9,曉
01824,A01824,66b9,暹
01825,A01825,66d9,曙
01826,A01826,66d6,曖
01827,A01827,66e0,曠
01828,A01828,66dd,曝
01829,A01829,66e6,曦
01830,A01830,66f0,曰
01831,A01831,66f2,曲
01832,A01832,66f3,曳
01833,A01833,66f4,更
01834,A01834,66f7,曷
01835,A01835,66f8,書
01836,A01836,66f9,曹
01837,A01837,52d7,勗
01838,A01838,66fe,曾
01839,A01839,66ff,替
01840,A01840,6703,會
01841,A01841,6708,月
01842,A01842,6709,有
01843,A01843,670d,服
01844,A01844,670b,朋
01845,A01845,6714,朔
01846,A01846,6715,朕
01847,A01847,6717,朗
01848,A01848,671b,望
01849,A01849,671f,期
01850,A01850,671d,朝
01851,A01851,6726,朦
01852,A01852,6727,朧
01853,A01853,6728,木
01854,A01854,672e,朮
01855,A01855,672c,本
01856,A01856,672a,未
01857,A01857,672b,末
01858,A01858,672d,札
01859,A01859,673d,朽
01860,A01860,6734,朴
01861,A01861,6731,朱
01862,A01862,6735,朵
01863,A01863,675f,束
01864,A01864,674e,李
01865,A01865,674f,杏
01866,A01866,6750,材
01867,A01867,6751,村
01868,A01868,675c,杜
01869,A01869,6756,杖
01870,A01870,675e,杞
01871,A01871,6749,杉
01872,A01872,676d,杭
01873,A01873,678b,枋
01874,A01874,6795,枕
01875,A01875,6771,東
01876,A01876,679c,果
01877,A01877,6773,杳
01878,A01878,6777,杷
01879,A01879,6787,枇
01880,A01880,679d,枝
01881,A01881,6797,林
01882,A01882,676f,杯
01883,A01883,6770,杰
01884,A01884,677f,板
01885,A01885,6789,枉
01886,A01886,677e,松
01887,A01887,6790,析
01888,A01888,6775,杵
01889,A01889,679a,枚
01890,A01890,67ff,柿
01891,A01891,67d3,染
01892,A01892,67f1,柱
01893,A01893,67d4,柔
01894,A01894,67d0,某
01895,A01895,67ec,柬
01896,A01896,67b6,架
01897,A01897,67af,枯
01898,A01898,67f5,柵
01899,A01899,67e9,柩
01900,A01900,67ef,柯
01901,A01901,67c4,柄
01902,A01902,67d1,柑
01903,A01903,67b4,枴
01904,A01904,67da,柚
01905,A01905,67e5,查
01906,A01906,67b8,枸
01907,A01907,67cf,柏
01908,A01908,67de,柞
01909,A01909,67f3,柳
01910,A01910,6821,校
01911,A01911,6838,核
01912,A01912,6848,案
01913,A01913,6846,框
01914,A01914,6853,桓
01915,A01915,6839,根
01916,A01916,6842,桂
01917,A01917,6854,桔
01918,A01918,6829,栩
01919,A01919,68b3,梳
01920,A01920,6817,栗
01921,A01921,684c,桌
01922,A01922,6851,桑
